poster_id,posted,date,time,country,state,city,duration,summary,img_url,lat,lng
1,06/03/23,05/03/23,20:47:00,United States,1,1,Few minutes long,Low flying aircraft,https://nuforc.org/wp-content/uploads/wpforms/624-c824613929464448a7e062112379f845/5214-a00f0e90e5b718dd34e70fc5bdcf072f.jpg,39.0157,-74.935
2,07/03/23,05/03/23,19:00:00,United States,2,2,10 seconds,Turquoise colored light traveling from south to north performing high speed maneuvers and directional changes.,https://nuforc.org/wp-content/uploads/wpforms/624-c824613929464448a7e062112379f845/20230305_192010-da28d43a7a2f309b7a11ed521990272e.jpg,35.5847,-80.8266
3,09/03/23,05/03/23,12:30:00,United States,3,3,4 min,Dark object triangular changed shape,https://nuforc.org/wp-content/uploads/wpforms/624-c824613929464448a7e062112379f845/Screenshot_20230304_171737_Messages-e14d06c2c564e947e8128411dbbfb4ba.jpg,34.1141,-118.4068
4,08/03/23,05/03/23,00:30:00,United States,4,4,Atleast 10 mins,"Light object sky, In Brooklyn towards Manhattan",https://nuforc.org/wp-content/uploads/wpforms/624-c824613929464448a7e062112379f845/3F4FD258-9F85-431A-B15D-FAC02176A005-a15457b516143d07feb90c0bb848c2a2.jpeg,40.6501,-73.9496
5,05/03/23,04/03/23,23:49:00,United States,5,5,Unknown,It suddenly appeared over rhe neighbors house and went from south to north pretty quickly. Maybe 50 60mph,https://nuforc.org/wp-content/uploads/wpforms/624-c824613929464448a7e062112379f845/Resized_Resized_20230304_234945-947be34e0cf47d3f7cee8a380c4b893f.jpeg,36.4063,-97.87
6,05/03/23,04/03/23,20:03:00,United States,6,6,seconds,"Two visible, slanted, lighted disks observed for mere seconds and seemed to disappear.",https://nuforc.org/wp-content/uploads/wpforms/624-c824613929464448a7e062112379f845/Direction-image-was-captured.--f9d7e855e19d4580ea9655b50a3a54c7.jpg,33.7094,-78.8844
7,05/03/23,04/03/23,15:04:00,United States,7,7,6 minutes,A giant white orb bigger than a house.,https://nuforc.org/wp-content/uploads/wpforms/624-c824613929464448a7e062112379f845/B8E844AB-AAB8-4B49-8692-818CA9B14AB2-5bc58dadfd99ef3bc91b424226bb966f.jpeg,36.6146,-88.3207
4,06/03/23,01/03/23,20:15:00,United States,4,8,20 minutes,Two lights that appeared to be from one object high and stationary in sky. NUFORC Note: Jupiter and Venus,https://nuforc.org/wp-content/uploads/wpforms/624-c824613929464448a7e062112379f845/DC95A3D5-7F52-4922-8533-7529C1A0CFE5-f5a2688c60c2010d2c51e6803c2d8dc5.jpeg,43.168,-77.6162
8,07/03/23,01/03/23,20:00:00,United States,8,9,Ongoing,Hovering lights spotted in Coldwater and in Lansing. NUFORC Note: Jupiter and Venus,https://nuforc.org/wp-content/uploads/wpforms/624-c824613929464448a7e062112379f845/2BC2E4D9-C1F9-48CD-B2B3-BEC986C77B2C-27ef8628699fc2ecde8ac03cb186f49c.jpeg,41.9465,-84.9989
8,04/03/23,01/03/23,19:55:00,United States,8,9,Still ongoing,2 really vibrant glowing orb like objects that seem to be connected. NUFORC Note: Jupiter and Venus,https://nuforc.org/wp-content/uploads/wpforms/624-c824613929464448a7e062112379f845/image-99bad0a50800d0b5db078a39ae6426ef.jpg,41.9465,-84.9989
9,07/03/23,01/03/23,19:53:00,United States,9,10,15 minutes,Saw 2 lights in the sky while getting dropped off at home. NUFORC Note: Jupiter and Venus,https://nuforc.org/wp-content/uploads/wpforms/624-c824613929464448a7e062112379f845/123_1-424fbc762fc215025e1a41264f46a078.jpeg,40.8998,-75.3179
0,06/03/23,01/03/23,19:46:00,United States,0,11,15 minutes maybe longer,"Saw two bright stars but one changed colors, seemed to not move at all. NUFORC Note: Jupiter and Venus",https://nuforc.org/wp-content/uploads/wpforms/624-c824613929464448a7e062112379f845/EA734B6D-C01B-4716-A426-C9FECBAA53C5-85cadcb75a84cac2665afbedf3572422.jpeg,26.3219,-80.2533
10,06/03/23,01/03/23,19:46:00,United States,10,12,25 minutes and ongoing.,I was moving snow for a couple hours when I noticed 2 lights to the west. NUFORC Note: Jupiter and Venus,https://nuforc.org/wp-content/uploads/wpforms/624-c824613929464448a7e062112379f845/20230301_191555-3aaaa1dd6f6d51b0d23f7e5bd9f48ff3.jpg,46.8915,-97.0533
11,01/03/23,01/03/23,19:38:00,United States,11,13,UFO?,Saw what appeared to be a Aireal object just hovering in the sky not moving. NUFORC Note: Jupiter and Venus,https://nuforc.org/wp-content/uploads/wpforms/624-c824613929464448a7e062112379f845/20230301_193449-ea5f1e3c5258c5e13d4035425dd21aea.jpg,43.6526,-116.2743
3,01/03/23,01/03/23,19:35:00,United States,3,14,Half hour so far,"Saw two stationary lights, one brighter than the other with an apparent aircraft flying to the left. NUFORC Note: Jupiter and Venus",https://nuforc.org/wp-content/uploads/wpforms/624-c824613929464448a7e062112379f845/A1D171DD-51F1-4EF9-B559-8585D3A6F989-3396ea07a4f754c231653c0e0bd42959.jpeg,33.6099,-117.7299
12,08/03/23,01/03/23,19:35:00,United States,12,15,10 minutes,I watched in the dark as it slowly moved overhead. NUFORC Note: Jupiter and Venus,https://nuforc.org/wp-content/uploads/wpforms/624-c824613929464448a7e062112379f845/11F1E572-9909-4365-8CED-59CC143537D2-761d4f0bd16a769f3da7afd41bb02003.jpeg,38.331,-75.2148
13,05/03/23,01/03/23,19:30:00,United States,13,16,Over 30 minutes,Two stationary white lights. One smaller & higher than the other. NUFORC Note: Jupiter and Venus,https://nuforc.org/wp-content/uploads/wpforms/624-c824613929464448a7e062112379f845/3DA29C4C-1D37-40D6-9A50-E264F9F7C0BE-e355cb22488cacf95fdd647ff8fbbf76.jpeg,31.7324,-84.1688
14,02/03/23,01/03/23,19:30:00,United States,14,17,40 minutes,The black elliptical object with 2 bright lights on each end hovered. NUFORC Note: Jupiter and Venus,https://nuforc.org/wp-content/uploads/wpforms/624-c824613929464448a7e062112379f845/4003B2BB-9009-4917-A1FF-F3AFCCCC8771-2eb376b63667d24a849c5e7235f43803.jpeg,42.0825,-87.8214
15,02/03/23,01/03/23,19:25:00,United States,15,18,30 minutes,2 lights near one another approximately 1 inch apart. NUFORC Note: Jupiter and Venus,https://nuforc.org/wp-content/uploads/wpforms/624-c824613929464448a7e062112379f845/B826B710-F0FC-4087-8F94-17A315129E4A-d1ccde8283bc697b817f24cd2de4bf73.jpeg,43.2231,-123.352
9,03/03/23,01/03/23,19:19:00,United States,9,19,3 + minutes,Two crafts then one dissappeared. NUFORC Note: Jupiter and Venus,https://nuforc.org/wp-content/uploads/wpforms/624-c824613929464448a7e062112379f845/20230301_191918-8ec911ac6ebd74555dcd99acde41441c.jpg,40.3935,-79.9005
16,07/03/23,01/03/23,19:08:00,United States,16,20,25 minutes plus,Two lights high in the sky stationary very large and bright. Seen clouds moving infront of it. NUFORC Note: Jupiter and Venus,https://nuforc.org/wp-content/uploads/wpforms/624-c824613929464448a7e062112379f845/20230301_191041-0049debf4994bfbaf90049c620264f43.jpg,41.0095,-81.6037
17,03/03/23,01/03/23,19:00:00,United States,17,21,1 hour,2 star-like objects close together not moving but there was too much cloud cover to see other stars. NUFORC Note: Jupiter and Venus,https://nuforc.org/wp-content/uploads/wpforms/624-c824613929464448a7e062112379f845/106FEEB9-6000-441A-AD7B-45D82A82076A-82ae8cbf363c8d877137b240ad3a7cc1.jpeg,32.3157,-90.2125
9,07/03/23,01/03/23,18:49:00,United States,9,22,15 minutes,Looked up at an unfamiliar light in the sky that me and my wife had first noticed. There were 2 lights. NUFORC Note: Jupiter and Venus,https://nuforc.org/wp-content/uploads/wpforms/624-c824613929464448a7e062112379f845/20230301_185142-e5df0bdc5ecbb30f1011ed3015a72b99.jpg,40.8616,-79.8962
18,03/03/23,01/03/23,18:45:00,United States,18,23,45 minutes on going,2 close bright lights very close staionary. NUFORC Note: Jupiter and Venus,https://nuforc.org/wp-content/uploads/wpforms/624-c824613929464448a7e062112379f845/20230301_183434-c3240272842cce79af96c21e51284d84.jpg,42.6282,-88.6323
3,03/03/23,01/03/23,18:20:00,United States,3,24,still going on,Two small lights apart - about the width of a wing span of a commercial airplane. NUFORC Note: Jupiter and Venus,https://nuforc.org/wp-content/uploads/wpforms/624-c824613929464448a7e062112379f845/motionlesslights3.1.23-55f33b1b4ac62710b81c7efef8a39834.jpg,33.8346,-118.3416
19,08/03/23,01/03/23,07:15:00,United States,3,25,10 mins,"Strange circular lights floating still, below star range. NUFORC Note: Jupiter and Venus",https://nuforc.org/wp-content/uploads/wpforms/624-c824613929464448a7e062112379f845/20230301_191610-4e02b370f23aec8d3c681928a9d2d4e5.jpg,36.4304,-119.8671
13,06/03/23,28/02/23,20:40:00,United States,13,26,10 or 12 minutes,"Brilliantly illuminated, scintillating, disc-shaped objects moving at constant speed. Illumination dimmed as objects passed over city.",https://nuforc.org/wp-content/uploads/wpforms/624-c824613929464448a7e062112379f845/IMG-2811-7017046dae24210e2db330a99b56a41c.jpeg,32.51,-84.8771
20,04/03/23,28/02/23,19:46:00,United States,19,27,It's been sitting for 1hr,I noticed it an hour ago. I posted on Twittrer and Facebook. NUFORC Note: Jupiter and Venus,https://nuforc.org/wp-content/uploads/wpforms/624-c824613929464448a7e062112379f845/Screenshot_20230228-190113_Gallery-cc1db7840520732a8132cc7f123c5fd5.jpg,35.849,-86.4121
20,07/03/23,28/02/23,19:17:00,United States,19,27,It's been sitting for 1hr,I seen them for 2+ hours. NUFORC Note: Jupiter and Venus,https://nuforc.org/wp-content/uploads/wpforms/624-c824613929464448a7e062112379f845/Screenshot_20230228-190113_Gallery-483a4247da65645efd1cb7203881f542.jpg,35.849,-86.4121
21,03/03/23,28/02/23,19:08:00,United States,20,28,Filing at 1922: ongoing,Observed 2x stationary low UFO over a field/highway in front of my house. NUFORC Note: Jupiter and Venus,https://nuforc.org/wp-content/uploads/wpforms/624-c824613929464448a7e062112379f845/image-2ad2d182763d006ad113253a82ccce39.jpg,38.2992,-77.4872
22,05/03/23,28/02/23,19:00:00,United States,21,29,30-45 minutes,Hovering close together. Faint green and red lights intermittently. NUFORC Note: Jupiter and Venus,https://nuforc.org/wp-content/uploads/wpforms/624-c824613929464448a7e062112379f845/inbound637127875369763670-be01666d2d55ef2570614335f68c5071.jpg,45.9145,-122.7505
23,05/03/23,28/02/23,18:50:00,United States,22,30,Ongoing,A motorist stopped us to point out two lighted objects in the sky. NUFORC Note: Jupiter and Venus,https://nuforc.org/wp-content/uploads/wpforms/624-c824613929464448a7e062112379f845/1677628392960205496780358762867-606a389f2f2a884a2234a6095176ca25.jpg,38.9047,-77.0163
24,05/03/23,28/02/23,18:34:00,United States,23,31,1 minute,"Upon reviewing the photos, I saw two bright lights in one of my photos. NUFORC Note: Jupiter and Venus",https://nuforc.org/wp-content/uploads/wpforms/624-c824613929464448a7e062112379f845/E963FE73-FE97-46C8-92C5-167A28800702-f0072d6e7415cc59ff5bddbbe1752242.jpeg,32.8583,-96.9702
0,02/03/23,27/02/23,20:02:00,United States,0,32,Approx 5 min,Observed light over the Gulf of Mexico that was preceded by cloud/mist travelling North to South parallel to the coast.,https://nuforc.org/wp-content/uploads/wpforms/624-c824613929464448a7e062112379f845/55A33ADD-3C5E-4B98-9FFA-9272C04E351C-e0d5bfe90b6be4cfa3c19de3261de7f4.jpeg,27.3387,-82.5432
0,28/02/23,27/02/23,19:54:00,United States,0,33,3-4 minutes,2 weird lit up flying objects,https://nuforc.org/wp-content/uploads/wpforms/624-c824613929464448a7e062112379f845/20230227_195310-23b91665c3c4f940c2b3ce48931170cd.jpg,27.1241,-82.4354
25,03/03/23,27/02/23,19:45:00,United States,24,34,20-30 minutes,Two stationery craft. NUFORC Note: Jupiter and Venus,https://nuforc.org/wp-content/uploads/wpforms/624-c824613929464448a7e062112379f845/IMG_2851-5710424ed33238fcfa5712dfaffbe31b.jpg,43.5928,-96.5799
20,01/03/23,27/02/23,18:00:00,United States,19,35,1 hour,2 craft stationary in the sky...unmoving for 1 hour.,https://nuforc.org/wp-content/uploads/wpforms/624-c824613929464448a7e062112379f845/19592-95d784ae41b4fddd1fa233c51e85ee3f.jpeg,35.8247,-86.0723
8,28/02/23,26/02/23,19:15:00,United States,8,36,App. 2 1/2 hours,2 lights in stack formation same speed. Much brighter than Venus. NUFORC Note: Jupiter and Venus,https://nuforc.org/wp-content/uploads/wpforms/624-c824613929464448a7e062112379f845/20230226_193832-7c447fd99a9b5e4d4774b88544766398.jpg,42.0705,-83.243
19,26/02/23,26/02/23,11:40:00,United States,3,37,Seconds,"Caught it with my camera flying about 100 ft above ground level at mach 1+ yet no visible engine, no sonic boom, no contrail, no sound!",https://nuforc.org/wp-content/uploads/wpforms/624-c824613929464448a7e062112379f845/20230226_112620-c0fed4ffa37ac117c9b2cd881b08c698.jpg,34.8621,-120.2943
16,28/02/23,25/02/23,20:30:00,United States,16,38,30 min,Took photos. Lights on it. stayed in one spot 20 min then moved slightly then gone. NUFORC Note: Jupiter and Venus,https://nuforc.org/wp-content/uploads/wpforms/624-c824613929464448a7e062112379f845/20230225_201217-dd4c7e34fbefca65748c528d699674c7.jpg,40.68,-82.5793
26,01/03/23,25/02/23,19:33:00,United States,25,39,35,Walking dogs and to the west there were 2 very bright lights in the lower part of the horizion,https://nuforc.org/wp-content/uploads/wpforms/624-c824613929464448a7e062112379f845/49081A0F-34EC-44E9-B5ED-50DCEA775F94-011f8969b22fb579ea6b117ab9187c93.png,39.0877,-108.5673
27,03/03/23,24/02/23,20:40:00,United States,26,40,Unknown,"Bright light in woods behind fence, something in corner of picture taken.",https://nuforc.org/wp-content/uploads/wpforms/624-c824613929464448a7e062112379f845/218169AB-3437-4665-A5E6-1BEBDBCA5AC0-16837c6e8b6c4ec1e81a93fff5f0f2f7.jpeg,32.4653,-93.7955
0,28/02/23,24/02/23,00:31:00,United States,0,41,Less than a minute,"An ""L"" shaped craft with 5-7 white, circular rings on its undercarriage. Had no visible lights. Was illuminated by city lights.",https://nuforc.org/wp-content/uploads/wpforms/624-c824613929464448a7e062112379f845/BECD576C-C4CB-452E-A9EC-8C863581EF17-06716ceb500229210c8d2674e0f833d3.jpeg,26.6194,-81.8302
4,25/02/23,22/02/23,19:00:00,United States,4,42,2-3 min,Looked like a dotted line in the night sky,https://nuforc.org/wp-content/uploads/wpforms/624-c824613929464448a7e062112379f845/8927741836124787097.jpg-1ab9bf0defc902d16e3dfcf0002dd89e.jpg,44.7088,-75.4717
9,21/02/23,21/02/23,22:20:00,United States,9,43,15 minutes,Stationary in sky,https://nuforc.org/wp-content/uploads/wpforms/624-c824613929464448a7e062112379f845/53C52E34-D622-460D-ADD3-9EEFD03DF59A-40a0762f8fcb01bcbbce8fb2fb7d7d64.jpeg,40.1533,-76.599
14,27/02/23,21/02/23,18:30:00,United States,14,44,Captured a still image,"While taking a pic of the moon and stars, I did not see the UFO in the sky; image of the UFO was captured in the photo.",https://nuforc.org/wp-content/uploads/wpforms/624-c824613929464448a7e062112379f845/20230221_183023-2b10da199f4da05e3b572b2fa7a8a4b8.jpg,40.4757,-88.9703
8,23/02/23,21/02/23,08:50:00,United States,8,45,Seen it for about 4 min,Small car size oval coming from trees and into the city,https://nuforc.org/wp-content/uploads/wpforms/624-c824613929464448a7e062112379f845/B4C1F1D8-4F24-435E-9FEF-993F1F1A52A5-f62b867ef2cc2c5ca2acb01a13bfee48.jpeg,41.7985,-86.6139
22,23/02/23,20/02/23,20:32:00,United States,21,46,1 hour,Me and my aunt spotted different unknown objects in the sky. NUFORC Note: Jupiter and Venus,https://nuforc.org/wp-content/uploads/wpforms/624-c824613929464448a7e062112379f845/3D3DC1A9-8108-4BE4-9446-52E85265808B-f66aecd3cef657e719a1af855743ff43.jpeg,47.7417,-122.6407
16,25/02/23,19/02/23,22:30:00,United States,16,47,20 minutes,A single ufo sighting from kitchen window.,https://nuforc.org/wp-content/uploads/wpforms/624-c824613929464448a7e062112379f845/Screenshot_20230219_223919_Facebook-446e32a23a7ea4397dc698ba2a29c797.jpg,41.1641,-81.5207
0,19/02/23,19/02/23,19:25:00,United States,0,48,1 hour,Weird Lights,https://nuforc.org/wp-content/uploads/wpforms/624-c824613929464448a7e062112379f845/D2822E48-1970-457D-9269-C01DC8B09B9E-532e83455a2dc4740bcb9a668ca37f2b.jpeg,26.3558,-81.7859
9,24/02/23,19/02/23,18:31:00,United States,9,49,15,Lights that got more intense.,https://nuforc.org/wp-content/uploads/wpforms/624-c824613929464448a7e062112379f845/IMG_20230221_140806-a922f29cb76c564a71276d7a70dc08f9.jpg,40.3578,-80.1061
